汉字,字符集,拆分2,拆分3,拆分3,标记,完成
民,1,,,,,
氒,3,氏 十,,,,
氓,1,亡 民,,,,
气,1,乞 一,丿 一 一 乙,,,
氕,2,气 丿,,,,
氖,1,气 乃,,,,
気,3,氣 乂,气 乂,,,
氘,2,气 丿 丨,,,,
氙,2,气 山,,,,
氚,2,气 川,,,,
氛,1,气 分,,,,
氜,3,气 日,,,,
氝,3,气 內,,,,
氞,3,,,,,
氟,1,气 弗,,,,
氠,3,气 申,,,,
氡,2,气 冬,,,,
氢,1,气 圣,,,,
氣,3,氣 米,气 米,,,
氤,2,气 因,,,,
氥,3,气 西,,,,
氦,1,气 亥,,,,
氧,1,气 羊,,,,
氨,1,气 安,,,,
氩,2,气 亚,,,,
氪,2,气 克,,,,
氫,3,氣 巠,气 巠,,,
氬,3,氣 亞,气 亞,,,
氭,3,氣 東,气 東,,,
氮,1,气 炎,,,,
氯,1,气 录,,,,
氰,1,气 青,,,,
氱,3,氣 昜,气 昜,,,
氲,2,气 昷,,,,
氳,3,氣 昷,气 昷,,,
水,1,乛 亅 丶 乀,,,,
氵,2,丶 丶 丿,,,,
氶,3,了 ? 丶 乀,,,,
氷,3,丶 水,,,,
永,1,丶 一 水,,,,
氹,3,乙 水,,,,
氺,3,,,,,
氻,3,水 力,氵 力,,,
氼,3,水 人,,,,
氽,2,人 水,,,,
氾,3,氵 卩,,,,
氿,3,氵 九,,,,
汀,1,氵 丁,,,,
汁,1,氵 十,,,,
求,1,水 一 丶,,,,
汃,3,氵 八,,,,
汄,3,氵 人,,,,
汅,3,氵 丂,,,,
汆,2,入 水,,,,
汇,1,氵 匚,,,,
汈,3,氵 刁,,,,
汉,1,氵 又,,,,
汊,2,氵 叉,,,,
汋,3,氵 勺,,,,
汌,3,氵 川,,,,
汍,3,氵 丸,,,,
汎,3,氵 凡,,,,
汏,3,氵 大,,,,
汐,1,氵 夕,,,,
汑,3,氵 乇,,,,
汒,3,氵 亡,,,,
汓,3,氵 子,,,,
汔,2,氵 乞,,,,
汕,1,氵 山,,,,
汖,3,山 水,,,,
汗,1,氵 干,,,,
汘,3,氵 千,,,,
汙,3,氵 于,,,,
汚,3,氵 亐,,,,
汛,1,氵 卂,,,,
汜,2,氵 巳,,,,
汝,1,氵 女,,,,
汞,1,工 水,,,,
江,1,氵 工,,,,
池,1,氵 也,,,,
污,1,氵 亏,,,,
汢,3,,,,,
汣,3,,,,,
汤,1,氵 弓 丿 丿,,,,
汥,3,氵 支,,,,
汦,3,氵 氏,,,,
汧,3,氵 开,,,,
汨,2,氵 日,,,,
汩,2,氵 日,,,,
汪,1,氵 王,,,,
汫,3,氵 井,,,,
汬,3,井 水,,,,
汭,3,氵 内,,,,
汮,3,氵 勻,,,,
汯,3,氵 厷,,,,
汰,1,氵 太,,,,
汱,3,氵 犬,,,,
汲,1,氵 及,,,,
汳,3,氵 反,,,,
汴,2,氵 卞,,,,
汵,3,氵 今,,,,
汶,2,氵 文,,,,
汷,3,氵 攵,,,,
汸,3,氵 方,,,,
汹,1,氵 凶,,,,
決,3,氵 夬,,,,
汻,3,氵 午,,,,
汼,3,氵 牛,,,,
汽,1,氵 气,,,,
汾,1,氵 分,,,,
汿,3,氵 予,,,,
沀,3,水 予,,,,
沁,1,氵 心,,,,
沂,1,氵 斤,,,,
沃,1,氵 夭,,,,
沄,3,氵 云,,,,
沅,2,氵 元,,,,
沆,2,氵 亢,,,,
沇,3,氵 允,,,,
沈,1,氵 冘,,,,
沉,1,,,,,
沊,3,冘 水,,,,
沋,3,氵 尤,,,,
沌,2,氵 屯,,,,
沍,3,氵 互,,,,
沎,3,氵 化,,,,
沏,1,氵 切,,,,
沐,2,氵 木,,,,
沑,3,氵 丑,,,,
沒,3,氵 勹 又,,,,
沓,2,氵 日,,,,
沔,2,氵 丏,,,,
沕,3,氵 勿,,,,
沖,3,氵 中,,,,
沗,3,天 水,,,,
沘,3,氵 比,,,,
沙,1,氵 少,,,,
沚,3,氵 止,,,,
沛,1,氵 巿,,,,
沜,3,氵 片,,,,
沝,3,水 水,,,,
沞,3,氵 帀,,,,
沟,1,氵 勾,,,,
沠,3,氵 爪,,,,
没,1,氵 殳,,,,
沢,3,氵 尺,,,,
沣,2,氵 丰,,,,
沤,1,氵 区,,,,
沥,1,氵 历,,,,
沦,1,氵 仑,,,,
沧,1,氵 仓,,,,
沨,3,氵 风,,,,
沩,2,氵 为,,,,
沪,1,氵 户,,,,
沫,1,氵 末,,,,
沬,3,氵 未,,,,
沭,2,氵 朮,,,,
沮,1,氵 且,,,,
沯,3,水 石,,,,
沰,3,氵 石,,,,
沱,2,氵 它,,,,
沲,2,氵 丿 一 也,,,,
河,1,氵 可,,,,
沴,3,氵 人 彡,,,,
沵,3,氵 尔,,,,
沶,3,氵 示,,,,
沷,3,氵 犮,,,,
沸,1,氵 弗,,,,
油,1,氵 由,,,,
沺,3,氵 田,,,,
治,1,氵 台,,,,
沼,1,氵 召,,,,
沽,1,氵 古,,,,
沾,1,氵 占,,,,
沿,1,氵 八 口,,,,
泀,3,氵 司,,,,
況,3,氵 兄,,,,
泂,3,氵 冋,,,,
泃,3,氵 句,,,,
泄,1,氵 世,,,,
泅,1,氵 囚,,,,
泆,3,氵 失,,,,
泇,3,氵 加,,,,
泈,3,氵 冬,,,,
泉,1,白 水,,,,
泊,1,氵 白,,,,
泋,3,氵 卉,,,,
泌,1,氵 必,,,,
泍,3,氵 本,,,,
泎,3,氵 乍,,,,
泏,3,氵 出,,,,
泐,2,氵 阞,,,,
泑,3,氵 幼,,,,
泒,3,氵 瓜,,,,
泓,2,氵 弘,,,,
泔,2,氵 甘,,,,
法,1,氵 去,,,,
泖,2,氵 卯,,,,
泗,2,氵 四,,,,
泘,3,氵 乎,,,,
泙,3,氵 平,,,,
泚,3,氵 此,,,,
泛,1,氵 乏,,,,
泜,3,氵 氐,,,,
泝,3,氵 斥,,,,
泞,1,氵 宁,,,,
泟,3,氵 正,,,,
泠,2,氵 令,,,,
泡,1,氵 包,,,,
波,1,氵 皮,,,,
泣,1,氵 立,,,,
泤,3,氵 以,,,,
泥,1,氵 尼,,,,
泦,3,氵 尻,,,,
泧,3,氵 戉,,,,
注,1,氵 主,,,,
泩,3,氵 生,,,,
泪,1,氵 目,,,,
泫,2,氵 玄,,,,
泬,3,氵 穴,,,,
泭,3,氵 付,,,,
泮,2,氵 半,,,,
泯,2,氵 民,,,,
泰,1,,,,,
泱,2,氵 央,,,,
泲,3,氵 丿 ? 丨 丿,,,,
泳,1,氵 永,,,,
泴,3,水 皿,,,,
泵,1,石 水,,,,
泶,2,小 冖 水,,,,
泷,2,氵 龙,,,,
泸,2,氵 卢,,,,
泹,3,,,,,
泺,2,氵 乐,,,,
泻,1,氵 写,,,,
泼,1,氵 发,,,,
泽,1,氵 又 二 丨,,,,
泾,2,氵 圣,,,,
泿,3,氵 艮,,,,
洀,3,氵 舟,,,,
洁,1,氵 吉,,,,
洂,3,氵 亦,,,,
洃,3,氵 灰,,,,
洄,2,氵 回,,,,
洅,3,氵 再,,,,
洆,3,氵 丞,,,,
洇,2,氵 因,,,,
洈,3,氵 危,,,,
洉,3,氵 后,,,,
洊,3,氵 存,,,,
洋,1,氵 羊,,,,
洌,2,氵 列,,,,
洍,3,,,,,
洎,2,氵 自,,,,
洏,3,氵 而,,,,
洐,3,氵 行,,,,
洑,3,氵 伏,,,,
洒,1,氵 西,,,,
洓,3,氵 朿,,,,
洔,3,氵 寺,,,,
洕,3,氵 水 八 肉,,水 八 月,,
洖,3,氵 吳,,,,
洗,1,氵 先,,,,
洘,3,氵 考,,,,
洙,2,氵 朱,,,,
洚,2,氵 夅,,,,
洛,1,氵 各,,,,
洜,3,,,,,
洝,3,氵 安,,,,
洞,1,氵 同,,,,
洟,3,氵 夷,,,,
洠,3,氵 牟,,,,
洡,3,氵 耒,,,,
洢,3,氵 伊,,,,
洣,3,氵 米,,,,
洤,3,氵 全,,,,
津,1,氵 聿,,,,
洦,3,氵 百,,,,
洧,2,氵 有,,,,
洨,3,氵 交,,,,
洩,3,氵 曳,,,,
洪,1,氵 共,,,,
洫,2,氵 血,,,,
洬,3,氵 夙,,,,
洭,3,氵 匡,,,,
洮,2,氵 兆,,,,
洯,3,氵 丰 刀,,,,
洰,3,氵 巨,,,,
洱,1,氵 耳,,,,
洲,1,氵 州,,,,
洳,2,氵 如,,,,
洴,3,氵 并,,,,
洵,2,氵 旬,,,,
洶,3,氵 匈,,,,
洷,3,氵 至,,,,
洸,3,氵 光,,,,
洹,2,氵 亘,,,,
洺,3,氵 名,,,,
活,1,氵 舌,,,,
洼,1,氵 圭,,,,
洽,1,氵 合,,,,
派,1,氵 厂 氏,,,,
洿,3,氵 夸,,,,
浀,3,氵 曲,,,,
流,1,氵 亠 厶 川,,氵 巟,,
浂,3,氵 关,,,,
浃,2,氵 夹,,,,
浄,3,氵 争,,,,
浅,1,氵 戋,,,,
浆,1,丬 夕 水,,,,
浇,1,氵 尧,,,,
浈,2,氵 贞,,,,
浉,3,氵 师,,,,
浊,1,氵 虫,,,,
测,1,氵 则,,,,
浌,3,,,,,
浍,2,氵 会,,,,
济,1,氵 齐,,,,
浏,2,氵 文 刂,,,,
浐,3,氵 产,,,,
浑,1,氵 军,,,,
浒,2,氵 许,,,,
浓,1,氵 农 脓,,,,
浔,2,氵 寻,,,,
浕,3,氵 尽,,,,
浖,3,氵 寽,,,,
浗,3,氵 求,,,,
浘,3,氵 尾,,,,
浙,1,氵 折,,,,
浚,1,氵 夋,,,,
浛,3,氵 含,,,,
浜,2,氵 兵,,,,
浝,3,氵 尨,,,,
浞,2,氵 足,,,,
浟,3,氵 攸,,,,
浠,2,氵 希,,,,
浡,3,氵 孛,,,,
浢,3,氵 豆,,,,
浣,2,氵 完,,,,
浤,3,氵 宏,,,,
浥,3,氵 邑,,,,
浦,1,氵 甫,,,,
浧,3,氵 呈,,,,
浨,3,氵 宋,,,,
浩,1,氵 告,,,,
浪,1,氵 良,,,,
浫,3,氵 罕,,,,
浬,3,氵 里,,,,
浭,3,氵 更,,,,
浮,1,氵 孚,,,,
浯,2,氵 吾,,,,
浰,3,氵 利,,,,
浱,3,氵 辰,,,,
浲,3,氵 夆,,,,
浳,3,氵 弋 肉,,水 弋 月,,
浴,1,氵 谷,,,,
浵,3,氵 彤,,,,
浶,3,氵 牢,,,,
海,1,氵 每,,,,
浸,1,氵 彐 冖 又,,,,
浹,3,氵 夾,,,,
浺,3,氵 忡,,,,
浻,3,氵 冏,,,,
浼,2,氵 免,,,,
浽,3,氵 妥,,,,
浾,3,氵 赤,,,,
浿,3,氵 貝,,,,
涀,3,氵 見,,,,
涁,3,氵 杉,,,,
涂,1,氵 余,,,,
涃,3,氵 困,,,,
涄,3,氵 甹,,,,
涅,1,氵 圼,,,,
涆,3,氵 旰,,,,
涇,3,氵 巠,,,,
消,1,氵 肖,,,,
涉,1,氵 步,,,,
涊,3,氵 忍,,,,
涋,3,氵 宊,,,,
涌,1,氵 甬,,,,
涍,3,氵 孝,,,,
涎,1,氵 延,,,,
涏,3,氵 廷,,,,
涐,3,氵 我,,,,
涑,2,氵 束,,,,
涒,3,氵 君,,,,
涓,2,氵 肙,,,,
涔,2,氵 岑,,,,
涕,1,氵 弟,,,,
涖,3,氵 位,,,,
涗,3,氵 兌,,,,
涘,3,氵 矣,,,,
涙,3,氵 戻,,,,
涚,3,氵 兑,,,,
涛,1,氵 寿,,,,
涜,3,氵 売,,,,
涝,1,氵 劳,,,,
涞,2,氵 来,,,,
涟,1,氵 连,,,,
涠,2,氵 围,,,,
涡,1,氵 呙,,,,
涢,3,氵 员,,,,
涣,1,氵 奂,,,,
涤,1,氵 条,,,,
涥,3,,,,,
润,1,氵 闰,,,,
涧,1,氵 间,,,,
涨,1,氵 张,,,,
涩,1,氵 刃 止,,,,
涪,1,氵 咅,,,,
涫,2,氵 官,,,,
涬,3,氵 幸,,,,
涭,3,氵 受,,,,
涮,2,氵 刷,,,,
涯,1,氵 厓,,,,
涰,3,氵 叕,,,,
涱,3,氵 長,,,,
液,1,氵 夜,,,,
涳,3,氵 空,,,,
涴,3,氵 宛,,,,
涵,1,氵 函,,,,
涶,3,氵 垂,,,,
涷,3,氵 東,,,,
涸,1,氵 固,,,,
涹,3,氵 委,,,,
涺,3,氵 居,,,,
涻,3,氵 舍,,,,
涼,3,氵 京,,,,
涽,3,氵 昏,,,,
涾,3,氵 沓,,,,
涿,2,氵 豖,,,,
淀,1,氵 定,,,,
淁,3,氵 妾,,,,
淂,3,氵 日 一 寸,,水 ?,,
淃,3,氵 卷,,,,
淄,1,氵 甾,,,,
淅,2,氵 析,,,,
淆,1,氵 肴,,,,
淇,2,氵 其,,,,
淈,3,氵 屈,,,,
淉,3,氵 果,,,,
淊,3,氵 臽,,,,
淋,1,氵 林,,,,
淌,1,氵 尚,,,,
淍,3,氵 周,,,,
淎,3,氵 奉,,,,
淏,3,氵 昊,,,,
淐,3,氵 昌,,,,
淑,1,氵 叔,,,,
淒,3,氵 妻,,,,
淓,3,氵 芳,,,,
淔,3,氵 直,,,,
淕,3,氵 坴,,,,
淖,1,氵 卓,,,,
淗,3,氵 匊,,,,
淘,1,氵 匋,,,,
淙,2,氵 宗,,,,
淚,3,氵 戾,,,,
淛,3,氵 制,,,,
淜,3,氵 朋,,,,
淝,2,氵 肥,,,,
淞,2,氵 松,,,,
淟,3,氵 典,,,,
淠,2,氵 畀,,,,
淡,1,氵 炎,,,,
淢,3,氵 或,,,,
淣,3,氵 兒,,,,
淤,1,氵 於,,,,
淥,3,氵 彔,,,,
淦,2,氵 金,,,,
淧,3,氵 宓,,,,
淨,3,氵 爭,,,,
淩,3,氵 夌,,,,
淪,3,氵 侖,,,,
淫,1,氵 爫 壬,,,,
淬,1,氵 卒,,,,
淭,3,户 木,,,,
淮,1,氵 隹,,,,
淯,3,氵 育,,,,
淰,3,氵 念,,,,
深,1,氵 罙,,,,
淲,3,氵 虎,,,,
淳,1,氵 享,,,,
淴,3,氵 忽,,,,
淵,3,氵 片 一 爿,,,,
淶,3,氵 來,,,,
混,1,氵 昆,,,,
淸,3,氵 靑,,,,
淹,1,氵 奄,,,,
淺,3,氵 戔,,,,
添,1,氵 忝,,,,
淼,2,水 水 水,,,,
淽,3,氵 芷,,,,
淾,3,金 水,,,,
淿,3,氵 帛,,,,
渀,3,氵 奔,,,,
渁,3,氵 水,,,,
渂,3,氵 旻,,,,
渃,3,氵 若,,,,
渄,3,氵 非,,,,
清,1,氵 青,,,,
渆,3,氵 并 刂,,洴 刀,,
渇,3,氵 日 勹 匕,,,,
済,3,氵 斉,,,,
渉,3,氵 歩,,,,
渊,1,氵 片 一 爿,,,,
渋,3,,,,,
渌,2,氵 录,,,,
渍,1,氵 责,,,,
渎,2,氵 卖,,,,
渏,3,,,,,
渐,1,氵 斩,,,,
渑,2,氵 黾,,,,
渒,3,氵 卑,,,,
渓,3,,,,,
渔,1,氵 鱼,,,,
渕,3,氵 关 刂,,浂 刀,,
渖,2,氵 审,,,,
渗,1,氵 参,,,,
渘,3,氵 柔,,,,
渙,3,氵 奐,,,,
渚,2,氵 者,,,,
減,3,氵 咸,,,,
渜,3,氵 耎,,,,
渝,1,氵 俞,,,,
渞,3,氵 首,,,,
渟,3,氵 亭,,,,
渠,1,洰 木,,,,
渡,1,氵 度,,,,
渢,3,氵 風,,,,
渣,1,氵 查,,,,
渤,1,氵 勃,,,,
渥,2,氵 屋,,,,
渦,3,氵 咼,,,,
渧,3,氵 帝,,,,
渨,3,氵 畏,,,,
温,1,氵 昷,,,,
渪,3,氵 禹,,,,
渫,2,氵 枼,,,,
測,3,氵 則,,,,
渭,1,氵 胃,,,,
渮,3,氵 荷,,,,
港,1,氵 巷,,,,
渰,3,氵 弇,,,,
渱,3,氵 虹,,,,
渲,2,氵 宣,,,,
渳,3,氵 弭,,,,
渴,1,氵 曷,,,,
渵,3,氵 苗,,,,
渶,3,氵 英,,,,
渷,3,氵 兗,,,,
游,1,氵 斿,,,,
渹,3,氵 訇,,,,
渺,1,氵 目 少,,,,
渻,3,氵 省,,,,
渼,3,氵 美,,,,
渽,3,氵 哉,,,,
渾,3,氵 軍,,,,
渿,3,氵 奈,,,,
湀,3,氵 癸,,,,
湁,3,氵 拾,,,,
湂,3,氵 咢,,,,
湃,1,氵 拜,,,,
湄,2,氵 眉,,,,
湅,3,氵 柬,,,,
湆,3,氵 音,,,,
湇,3,氵 立 肉,,水 立 月,,
湈,3,氵 某,,,,
湉,3,氵 恬,,,,
湊,3,氵 奏,,,,
湋,3,氵 韋,,,,
湌,3,氵 食,,,,
湍,1,氵 耑,,水 山 而,,
湎,2,氵 面,,,,
湏,3,氵 頁,,,,
湐,3,氵 柏,,,,
湑,3,氵 胥,,,,
湒,3,氵 咠,,,,
湓,2,氵 盆,,,,
湔,2,氵 前,,,,
湕,3,氵 建,,,,
湖,1,氵 胡,,,,
湗,3,氵 封,,,,
湘,1,氵 相,,,,
湙,3,氵 奕,,,,
湚,3,氵 胤,,,,
湛,1,氵 甚,,,,
湜,3,氵 是,,,,
湝,3,氵 皆,,,,
湞,3,氵 貞,,,,
湟,2,氵 皇,,,,
湠,3,氵 炭,,,,
湡,3,氵 禺,,,,
湢,3,氵 畐,,,,
湣,3,氵 昬,,,,
湤,3,氵 施,,,,
湥,3,氵 突,,,,
湦,3,氵 星,,,,
湧,3,氵 勇,,,,
湨,3,氵 狊,,,,
湩,3,氵 重,,,,
湪,3,,,,,
湫,2,氵 秋,,,,
湬,3,秋 水,,,,
湭,3,,,,,
湮,2,氵 垔,,,,
湯,3,氵 昜,,,,
湰,3,氵 夂 一 生,,,,
湱,3,氵 砉,,,,
湲,3,氵 爰,,,,
湳,3,氵 南,,,,
湴,3,氵 並,,,,
湵,3,氵 羑,,,,
湶,3,氵 泉,,,,
湷,3,氵 春,,,,
湸,3,氵 亮,,,,
湹,3,氵 厘,,,,
湺,3,氵 保,,,,
湻,3,氵 亯,,,,
湼,3,氵 臼 工,,,,
湽,3,氵 甾 一,,,,
湾,1,氵 弯,,,,
湿,1,氵 显,,,,
満,3,氵 艹 両,,,,
溁,3,氵 荣,,,,
溂,3,,,,,
溃,1,氵 贵,,,,
溄,3,,,,,
溅,1,氵 贱,,,,
溆,2,氵 叙,,,,
溇,3,氵 娄,,,,
溈,3,氵 為,,,,
溉,1,氵 既,,,,
溊,3,,,,,
溋,3,,,,,
溌,3,氵 発,,,,
溍,3,氵 晉,,,,
溎,3,氵 桂,,,,
溏,2,氵 唐,,,,
源,1,氵 原,,,,
溑,3,氵 小 貝,,,,
溒,3,氵 袁,,,,
溓,3,氵 兼,,,,
溔,3,氵 羔,,,,
溕,3,氵 冡,,,,
準,3,氵 隹 十,,,,
溗,3,氵 乘,,,,
溘,2,氵 盍,,,,
溙,3,氵 泰,,,,
溚,3,氵 荅,,,,
溛,3,氵 窊,,,,
溜,1,氵 留,,,,
溝,3,氵 冓,,,,
溞,3,氵 蚤,,,,
溟,2,氵 冥,,,,
溠,3,氵 差,,,,
溡,3,氵 時,,,,
溢,1,氵 益,,,,
溣,3,氵 侖,,,,
溤,3,氵 馬,,,,
溥,2,氵 尃,,,,
溦,3,氵 山 兀 攵,,,,
溧,2,氵 栗,,,,
溨,3,氵 栽,,,,
溩,3,氵 烏,,,,
溪,1,氵 奚,,,,
溫,3,氵 昷,,,,
溬,3,氵 羗,,,,
溭,3,氵 畟,,,,
溮,3,氵 師,,,,
溯,1,氵 朔,,,,
溰,3,氵 豈,,,,
溱,2,氵 秦,,,,
溲,2,氵 叟,,,,
溳,3,氵 員,,,,
溴,2,氵 臭,,,,
溵,3,氵 殷,,,,
溶,1,氵 容,,,,
溷,2,氵 圂,,,,
溸,3,氵 素,,,,
溹,3,氵 索,,,,
溺,1,氵 弱,,,,
溻,2,氵 日 羽,,,,
溼,3,氵 一 幺 幺 土,,,,
溽,2,氵 辱,,,,
溾,3,氵 鬼,,,,
溿,3,氵 畔,,,,
滀,3,氵 畜,,,,
滁,1,氵 除,,,,
滂,2,氵 旁,,,,
滃,3,氵 翁,,,,
滄,3,氵 倉,,,,
滅,3,氵 烕,,,,
滆,3,氵 鬲,,,,
滇,1,氵 真,,,,
滈,3,氵 高,,,,
滉,3,氵 晃,,,,
滊,3,氵 氣,,,,
滋,1,氵 兹,,,,
滌,3,氵 條,,,,
滍,3,氵 蚩,,,,
滎,3,?? 水,,,,
滏,2,氵 釜,,,,
滐,3,,,,,
滑,1,氵 骨,,,,
滒,3,氵 哥,,,,
滓,1,氵 宰,,,,
滔,1,氵 舀,,,,
滕,2,氵 丷 夫 水,,,,
滖,3,氵 衰,,,,
滗,2,氵 笔,,,,
滘,3,氵 冖 八 工 口,,,,
滙,3,氵 匚 隹,,,,
滚,1,氵 衮,,,,
滛,3,氵 爫 缶,,,,
滜,3,氵 皋,,,,
滝,3,氵 竜,,,,
滞,1,氵 带,,,,
滟,2,氵 艳,,,,
滠,2,氵 聂,,,,
满,1,氵 艹 两,,,,
滢,2,氵 莹,,,,
滣,3,氵 唇,,,,
滤,1,氵 虑,,,,
滥,1,氵 监,,,,
滦,1,氵 栾,,,,
滧,3,,,,,
滨,1,氵 宾,,,,
滩,1,氵 难,,,,
滪,3,氵 预,,,,
滫,3,氵 脩,,,,
滬,3,氵 戶 邑,,,,
滭,3,氵 畢,,,,
滮,3,氵 彪,,,,
滯,3,氵 帶,,,,
滰,3,氵 竟,,,,
滱,3,氵 寇,,,,
滲,3,氵 參,,,,
滳,3,氵 商,,,,
滴,1,氵 啇,,,,
滵,3,氵 密,,,,
滶,3,氵 敖,,,,
滷,3,氵 鹵,,,,
滸,3,氵 許,,,,
滹,2,氵 虖,,,,
滺,3,氵 悠,,,,
滻,3,氵 產,,,,
滼,3,氵 梵,,,,
滽,3,氵 庸,,,,
滾,3,氵 袞,,,,
滿,3,氵 廿 冂 丨 入 入,,,,
漀,3,殸 水,,,,
漁,3,氵 魚,,,,
漂,1,氵 票,,,,
漃,3,氵 寂,,,,
漄,3,氵 崖,,,,
漅,3,氵 巢,,,,
漆,1,氵 桼,,,,
漇,3,氵 徙,,,,
漈,3,氵 祭,,,,
漉,2,氵 鹿,,,,
漊,3,氵 婁,,,,
漋,3,氵 隆,,,,
漌,3,氵 堇,,,,
漍,3,氵 國,,,,
漎,3,氵 從,,,,
漏,1,氵 屚,,,,
漐,3,執 水,,,,
漑,3,氵 旣,,,,
漒,3,氵 強,,,,
漓,1,氵 离,,,,
演,1,氵 寅,,,,
漕,2,氵 曹,,,,
漖,3,氵 教,,,,
漗,3,氵 悤,,,,
漘,3,氵 脣,,,,
漙,3,氵 專,,,,
漚,3,氵 區,,,,
漛,3,氵 丷 夫 水,,水 ?? 水,,
漜,3,氵 埜,,,,
漝,3,氵 習,,,,
漞,3,氵 覓,,,,
漟,3,氵 堂,,,,
漠,1,氵 莫,,,,
漡,3,氵 丿 一 昜,,,,
漢,3,氵 革 大,,,,
漣,3,氵 連,,,,
漤,2,氵 婪,,,,
漥,3,氵 穴 圭,,,,
漦,3,未 攵 厂 水,,,,
漧,3,氵 乾,,,,
漨,3,氵 逢,,,,
漩,2,氵 旋,,,,
漪,2,氵 犭 奇,,,,
漫,1,氵 曼,,,,
漬,3,氵 責,,,,
漭,2,氵 莽,,,,
漮,3,氵 康,,,,
漯,2,氵 累,,,,
漰,3,氵 崩,,,,
漱,1,氵 欶,,,,
漲,3,氵 張,,,,
漳,1,氵 章,,,,
漴,3,氵 崇,,,,
漵,3,氵 敘,,,,
漶,2,氵 患,,,,
漷,3,氵 郭,,,,
漸,3,氵 斬,,,,
漹,3,氵 焉,,,,
漺,3,氵 爽,,,,
漻,3,氵 翏,,,,
漼,3,氵 崔,,,,
漽,3,氵 犀,,,,
漾,1,氵 羕,,,,
漿,3,水 將,,,,
潀,3,氵 眾,,,,
潁,3,匕 水 頁,,,,
潂,3,氵 山 並,,,,
潃,3,氵 彳 攵 肉,,水 彳 攵 月,,
潄,3,氵 敕,,,,
潅,3,氵 丿 二 隹,,,,
潆,2,氵 萦,,,,
潇,2,氵 肃,,,,
潈,3,,,,,
潉,3,,,,,
潊,3,氵 敍,,,,
潋,2,氵 敛,,,,
潌,3,氵 窒,,,,
潍,1,氵 维,,,,
潎,3,氵 敝,,,,
潏,3,氵 矞,,,,
潐,3,氵 焦,,,,
潑,3,氵 發,,,,
潒,3,氵 象,,,,
潓,3,氵 惠,,,,
潔,3,氵 絜,,,,
潕,3,氵 無,,,,
潖,3,氵 琶,,,,
潗,3,氵 集,,,,
潘,1,氵 番,,,,
潙,3,氵 爲,,,,
潚,3,氵 肅,,,,
潛,3,氵 朁,,,,
潜,1,氵 替,,,,
潝,3,氵 翕,,,,
潞,1,氵 路,,,,
潟,3,氵 臼 勹 灬,,,,
潠,3,氵 巽,,,,
潡,3,氵 敦,,,,
潢,2,氵 黄,,,,
潣,3,氵 閔,,,,
潤,3,氵 閏,,,,
潥,3,氵 粟,,,,
潦,1,氵 尞,,,,
潧,3,氵 曾,,,,
潨,3,氵 衆,,,,
潩,3,氵 異,,,,
潪,3,氵 智,,,,
潫,3,氵 絭,,,,
潬,3,氵 單,,,,
潭,1,氵 覃,,,,
潮,1,氵 朝,,,,
潯,3,氵 尋,,,,
潰,3,氵 貴,,,,
潱,3,,,,,
潲,2,氵 稍,,,,
潳,3,氵 屠,,,,
潴,2,氵 猪,,,,
潵,3,氵 散,,,,
潶,3,氵 黑,,,,
潷,3,氵 筆,,,,
潸,2,氵 木 木 月,,,,
潹,3,氵 森,,,,
潺,2,氵 孱,,,,
潻,3,氵 黍,,,,
潼,2,氵 童,,,,
潽,3,氵 普,,,,
潾,3,氵 粦,,,,
潿,3,氵 圍,,,,
澀,3,氵 歰,,,,
澁,3,氵 歮,,,,
澂,3,氵 彳 山 一 王 攵 徴,,,,
澃,3,須 水,,,,
澄,1,氵 登,,,,
澅,3,氵 畫,,,,
澆,3,氵 堯,,,,
澇,3,氵 勞,,,,
澈,1,氵 育 攵,,,,
澉,2,氵 敢,,,,
澊,3,氵 尊,,,,
澋,3,氵 景,,,,
澌,2,氵 斯,,,,
澍,2,氵 尌,,,,
澎,1,氵 彭,,,,
澏,3,氵 喦,,,,
澐,3,氵 雲,,,,
澑,3,氵 畱,,,,
澒,3,氵 項,,,,
澓,3,氵 復,,,,
澔,3,氵 皓,,,,
澕,3,氵 華,,,,
澖,3,氵 閑,,,,
澗,3,氵 間,,,,
澘,3,氵 林 日,,,,
澙,3,氵 舃,,,,
澚,3,,,,,
澛,3,,,,,
澜,1,氵 阑,,,,
澝,3,,,,,
澞,3,氵 虞,,,,
澟,3,氵 稟,,,,
澠,3,氵 黽,,,,
澡,1,氵 喿,,,,
澢,3,氵 當,,,,
澣,3,氵 幹,,,,
澤,3,氵 睪,,,,
澥,3,氵 解,,,,
澦,3,氵 預,,,,
澧,2,氵 豊,,,,
澨,3,氵 筮,,,,
澩,3,?? 水,,,,
澪,3,氵 零,,,,
澫,3,氵 萬,,,,
澬,3,氵 資,,,,
澭,3,氵 雍,,,,
澮,3,氵 會,,,,
澯,3,氵 粲,,,,
澰,3,氵 僉,,,,
澱,3,氵 殿,,,,
澲,3,氵 業,,,,
澳,1,氵 奥,,,,
澴,3,氵 睘,,,,
澵,3,氵 新,,,,
澶,2,氵 亶,,,,
澷,3,氵 曰 罒 方,,,,
澸,3,氵 感,,,,
澹,2,氵 詹,,,,
澺,3,氵 意,,,,
澻,3,氵 遂,,,,
澼,3,氵 辟,,,,
澽,3,氵 豦,,,,
澾,3,氵 達,,,,
澿,3,氵 禁,,,,
激,1,氵 敫,,,,
濁,3,氵 蜀,,,,
濂,2,氵 廉,,,,
濃,3,氵 農 膿,,,,
